,tanggal,tweet
71,2023-01-20,"Sekjen Gerindra Ahmad Muzani sangat senang bila Presiden Joko Widodo mendukung Ketua Umum Partai Gerindra Prabowo Subianto maju menjadi calon presiden Pemilu 2024 nanti
https://t.co/EENrbSI6bH
#BersatuNegeri  #BangkitBersama"
72,2023-01-20,"Wakil Ketua DPR RI Sufmi Dasco menjelaskan seluruh kader Gerindra sudah mengamanatkan Prabowo Subianto maju sebagai calon presiden di pilpres 2024
https://t.co/UJITVABT6X
#BersatuNegeri  #BangkitBersama"
73,2023-01-20,"Wakil Ketua DPR RI Sufmi Dasco menjelaskan seluruh kader Gerindra sudah mengamanatkan Prabowo Subianto maju sebagai calon presiden di pilpres 2024
https://t.co/iAX4u4iicy
#BersatuNegeri  #BangkitBersama https://t.co/6SlqOF8lDd"
74,2023-01-20,"Jelas yah ""Partai Gerindra menyambut positif dukungan Presiden Joko Widodo agar Ketua Umum Gerindra Prabowo Subianto maju menjadi calon presiden di tahun 2024.
#BersatuNegeri
#BangkitBersama 
Prabowo Subianto good leader https://t.co/7fLCExsQfZ"" https://t.co/GNDjYyeMTn https://t.co/8Js7KyNYlm"
75,2023-01-20,"Jokowi dalam beberapa kesempatan telah memberi sinyal untuk Menteri Pertahanan Prabowo Subianto maju sebagai calon presiden atau capres 2024.

#BersatuNegeri #BangkitBersama 
prabowosubianto. https://t.co/afUnhCxz9N"
76,2023-01-20,"PDIP belum tentukan calon presiden hadapi Pilpres 2024. Namun nama Ketua DPR RI Puan Maharani santer disebut paling layak capres.
https://t.co/9O3qOpUtzV"
77,2023-01-20,"Menteri Pertahanan Prabowo Subianto terus menguat sebagai figur calon presiden melanjutkan kepemimpinan Presiden Joko Widodo pada Pilpres 2024 mendatang.
#BersatuNegeri #BangkitBersama"
78,2023-01-20,"Sebagai informasi, saat memberikan sambutan di acara HUT Perindo, Presiden Joko Widodo (Jokowi) berkelakar bahwa pada 2024 merupakan tahun kemenangan Prabowo Subianto jika maju sebagai calon presiden (capres) RI. 

#BangkitBersama 
#BersatuNegeri"
79,2023-01-20,"Ketua Umum Projo Budi Arie Setiadi mengatakan pihaknya akan mengikuti arahan Jokowi dalam menentukan sosok yang didukung sebagai calon presiden di Pilpres 2024.
#BersatuNegeri #BangkitBersama Prabowo Subianto #kerjasama"
80,2023-01-20,"Apalagi Partai Gerindra menyatakan bakal mengusung Prabowo Subianto sebagai bakal calon presiden pada Pemilu 2024 mendatang.
#BersatuNegeri
#BangkitBersama https://t.co/RpTmU2lbW4"
81,2023-01-20,"Prabowo Subianto saat ini telah mendeklarasikan diri akan maju dalam pemilihan presiden 2024. Deklarasi Partai Gerindra mendukung Prabowo maju dalam calon presiden
#BangkitBersama
#BersatuNegeri
Prabowo Subianto"
82,2023-01-20,"Sekjen Gerindra Ahmad Muzani sangat senang bila Presiden Joko Widodo mendukung Ketua Umum Partai Gerindra Prabowo Subianto maju menjadi calon presiden Pemilu 2024 nanti
https://t.co/EWKIvv3i34
#BersatuNegeri  #BangkitBersama https://t.co/TmvcjyzuQ0"
83,2023-01-20,"Sekjen Gerindra Ahmad Muzani sangat senang bila Presiden Joko Widodo mendukung Ketua Umum Partai Gerindra Prabowo Subianto maju menjadi calon presiden Pemilu 2024 nanti
https://t.co/dLan9UPnyu
#BersatuNegeri  #BangkitBersama https://t.co/g5Gbclyhxn"
